Tid	Kanal A
(ms)	(V)

0.00000000	2.71868800
0.05000000	2.62487700
0.10000000	2.62487700
0.15000000	2.62487700
0.19999999	2.62487700
0.24999999	2.62487700
0.29999999	2.71868800
0.34999999	2.71868800
0.39999999	2.62487700
0.44999999	2.62487700
0.49999999	2.71868800
0.54999999	2.71868800
0.59999998	2.62487700
0.64999998	2.71868800
0.69999998	2.62487700
0.74999998	2.62487700
0.79999998	2.62487700
0.84999998	2.71868800
0.89999998	2.62487700
0.94999998	2.62487700
0.99999997	2.71868800
1.04999997	2.62487700
1.09999997	2.71868800
1.14999997	2.62487700
1.19999997	2.62487700
1.24999997	2.71868800
1.29999997	2.71868800
1.34999997	2.62487700
1.39999996	2.62487700
1.44999996	2.62487700
1.49999996	2.62487700
1.54999996	2.62487700
1.59999996	2.62487700
1.64999996	2.62487700
1.69999996	2.62487700
1.74999996	2.62487700
1.79999995	2.62487700
1.84999995	2.62487700
1.89999995	2.62487700
1.94999995	2.71868800
1.99999995	2.62487700
2.04999995	2.71868800
2.09999995	2.71868800
2.14999995	2.71868800
2.19999994	2.71868800
2.24999994	2.71868800
2.29999994	2.71868800
2.34999994	2.71868800
2.39999994	2.71868800
2.44999994	2.62487700
2.49999994	2.62487700
2.54999994	2.71868800
2.59999993	2.62487700
2.64999993	2.71868800
2.69999993	2.71868800
2.74999993	2.71868800
2.79999993	2.62487700
2.84999993	2.62487700
2.89999993	2.71868800
2.94999993	2.62487700
2.99999992	2.62487700
3.04999992	2.71868800
3.09999992	2.71868800
3.14999992	2.62487700
3.19999992	2.62487700
3.24999992	2.71868800
3.29999992	2.71868800
3.34999992	2.62487700
3.39999991	2.62487700
3.44999991	2.71868800
3.49999991	2.71868800
3.54999991	2.71868800
3.59999991	2.62487700
3.64999991	2.62487700
3.69999991	2.62487700
3.74999991	2.71868800
3.79999990	2.62487700
3.84999990	2.62487700
3.89999990	2.62487700
3.94999990	2.62487700
3.99999990	2.62487700
4.04999990	2.62487700
4.09999990	2.62487700
4.14999990	2.62487700
4.19999989	2.71868800
4.24999989	2.71868800
4.29999989	2.62487700
4.34999989	2.71868800
4.39999989	2.62487700
4.44999989	2.71868800
4.49999989	2.62487700
4.54999989	2.71868800
4.59999988	2.62487700
4.64999988	2.62487700
4.69999988	2.71868800
4.74999988	2.62487700
4.79999988	2.71868800
4.84999988	2.62487700
4.89999988	2.62487700
4.94999987	2.62487700
4.99999987	2.62487700
5.04999987	2.62487700
5.09999987	2.62487700
5.14999987	2.71868800
5.19999987	2.62487700
5.24999987	2.71868800
5.29999987	2.71868800
5.34999986	2.62487700
5.39999986	2.71868800
5.44999986	2.62487700
5.49999986	2.71868800
5.54999986	2.62487700
5.59999986	2.62487700
5.64999986	2.71868800
5.69999986	2.71868800
5.74999985	2.71868800
5.79999985	2.62487700
5.84999985	2.62487700
5.89999985	2.62487700
5.94999985	2.62487700
5.99999985	2.62487700
6.04999985	2.71868800
6.09999985	2.62487700
6.14999984	2.62487700
6.19999984	2.71868800
6.24999984	2.71868800
6.29999984	2.71868800
6.34999984	2.71868800
